group1,group1_value,group2,group2_value,time,cmlinc,cmlinc.low,cmlinc.high,early_milestone,primary_milestone,final_milestone
chd,FALSE,all,All,7,0.029535864978903037,0.025316455696202667,0.035864978902953704,0,0,0
chd,FALSE,all,All,14,0.05907172995780596,0.05274261603375541,0.06540084388185663,0,0,0
chd,FALSE,all,All,21,0.0864978902953587,0.07805907172995785,0.09493670886075956,0,0,0
chd,FALSE,all,All,28,0.10970464135021107,0.10126582278481022,0.12025316455696211,0,0,0
chd,FALSE,all,All,35,0.139240506329114,0.12869198312236296,0.14978902953586504,0,0,0
chd,FALSE,all,All,42,0.16455696202531656,0.15400843881856552,0.1751054852320676,0,0,0
chd,FALSE,all,All,49,0.1898734177215191,0.17932489451476796,0.20253164556962033,0,0,0
chd,FALSE,all,All,56,0.21729957805907174,0.2067510548523207,0.22995780590717307,0,1,0
chd,FALSE,all,All,63,0.24683544303797478,0.23417721518987344,0.259493670886076,0,0,0
chd,FALSE,all,All,70,0.2784810126582279,0.26582278481012667,0.2911392405063292,0,0,0
chd,FALSE,all,All,77,0.30168776371308026,0.2890295358649789,0.3143459915611815,0,0,0
chd,FALSE,all,All,84,0.329113924050633,0.3143459915611815,0.3417721518987342,0,0,0
chd,FALSE,all,All,91,0.3586497890295359,0.3459915611814347,0.37341772151898744,0,0,0
chd,FALSE,all,All,98,0.38607594936708867,0.37341772151898744,0.4008438818565402,0,0,0
chd,FALSE,all,All,105,0.4156118143459916,0.4008438818565402,0.4282700421940929,0,0,0
chd,FALSE,all,All,112,0.44303797468354433,0.4282700421940929,0.45780590717299585,0,0,0
chd,FALSE,all,All,119,0.4704641350210971,0.45569620253164567,0.4852320675105486,0,0,0
chd,FALSE,all,All,126,0.49578059071729963,0.4831223628691984,0.510548523206751,0,0,0
chd,FALSE,all,All,133,0.5210970464135021,0.508438818565401,0.5358649789029537,0,0,0
chd,FALSE,all,All,140,0.5527426160337553,0.5379746835443038,0.5654008438818565,0,0,0
chd,FALSE,all,All,147,0.5780590717299579,0.5632911392405064,0.5928270042194093,0,0,0
chd,FALSE,all,All,154,0.6033755274261603,0.5886075949367089,0.6181434599156119,0,0,0
chd,FALSE,all,All,161,0.6329113924050633,0.620253164556962,0.6476793248945147,0,0,0
chd,FALSE,all,All,168,0.6561181434599157,0.6434599156118144,0.6708860759493671,0,0,0
chd,FALSE,all,All,175,0.6877637130801688,0.6751054852320675,0.7004219409282701,0,0,0
chd,FALSE,all,All,182,0.7172995780590717,0.7046413502109705,0.729957805907173,0,0,1
chd,TRUE,all,All,7,0.04999999999999993,0,0.04999999999999993,0,0,0
chd,TRUE,all,All,14,0.04999999999999993,0,0.09999999999999998,0,0,0
chd,TRUE,all,All,21,0.04999999999999993,0.04999999999999993,0.09999999999999998,0,0,0
chd,TRUE,all,All,28,0.09999999999999998,0.04999999999999993,0.1499999999999999,0,0,0
chd,TRUE,all,All,35,0.1499999999999999,0.09999999999999998,0.19999999999999996,0,0,0
chd,TRUE,all,All,42,0.1499999999999999,0.09999999999999998,0.25,0,0,0
chd,TRUE,all,All,49,0.19999999999999996,0.1499999999999999,0.25,0,0,0
chd,TRUE,all,All,56,0.19999999999999996,0.1499999999999999,0.29999999999999993,0,1,0
