group1,group1_value,group2,group2_value,time,cmlinc,cmlinc.low,cmlinc.high,early_milestone,primary_milestone,final_milestone
clinical_priority,FALSE,all,All,7,0.030612244897959218,0.023809523809523836,0.0374149659863946,0,0,0
clinical_priority,FALSE,all,All,14,0.057823129251700744,0.05102040816326536,0.06802721088435382,0,0,0
clinical_priority,FALSE,all,All,21,0.08503401360544216,0.0748299319727892,0.09523809523809523,0,0,0
clinical_priority,FALSE,all,All,28,0.11224489795918369,0.10204081632653061,0.12244897959183676,0,0,0
clinical_priority,FALSE,all,All,35,0.13605442176870752,0.12585034013605445,0.1496598639455783,0,0,0
clinical_priority,FALSE,all,All,42,0.16326530612244905,0.1496598639455783,0.1768707482993198,0,0,0
clinical_priority,FALSE,all,All,49,0.19047619047619047,0.1768707482993198,0.20748299319727892,0,0,0
clinical_priority,FALSE,all,All,56,0.22108843537414968,0.20748299319727892,0.23809523809523814,1,0,0
clinical_priority,FALSE,all,All,63,0.2517006802721089,0.23809523809523814,0.26870748299319736,0,0,0
clinical_priority,FALSE,all,All,70,0.282312925170068,0.26530612244897966,0.29931972789115646,0,0,0
clinical_priority,FALSE,all,All,77,0.3129251700680272,0.29591836734693877,0.3299319727891157,0,0,0
clinical_priority,FALSE,all,All,84,0.33673469387755106,0.3197278911564626,0.3537414965986395,0,0,0
clinical_priority,FALSE,all,All,91,0.3605442176870749,0.34353741496598644,0.37755102040816324,0,0,0
clinical_priority,FALSE,all,All,98,0.3877551020408163,0.37074829931972797,0.40476190476190477,0,0,0
clinical_priority,FALSE,all,All,105,0.41496598639455784,0.3979591836734694,0.4319727891156463,0,0,0
clinical_priority,FALSE,all,All,112,0.44557823129251706,0.4285714285714286,0.4659863945578232,0,0,0
clinical_priority,FALSE,all,All,119,0.47619047619047616,0.45578231292517013,0.4931972789115646,0,0,0
clinical_priority,FALSE,all,All,126,0.5068027210884354,0.48639455782312924,0.5238095238095238,0,0,0
clinical_priority,FALSE,all,All,133,0.5340136054421769,0.5170068027210885,0.554421768707483,0,0,0
clinical_priority,FALSE,all,All,140,0.5612244897959184,0.5442176870748299,0.5816326530612246,0,0,0
clinical_priority,FALSE,all,All,147,0.58843537414966,0.5714285714285714,0.6054421768707483,0,0,0
clinical_priority,FALSE,all,All,154,0.6190476190476191,0.5986394557823129,0.6360544217687075,0,1,0
clinical_priority,FALSE,all,All,161,0.6394557823129252,0.6224489795918368,0.6564625850340136,0,0,0
clinical_priority,FALSE,all,All,168,0.6700680272108843,0.6496598639455782,0.6870748299319728,0,0,0
clinical_priority,FALSE,all,All,175,0.6938775510204082,0.6768707482993197,0.7108843537414966,0,0,0
clinical_priority,FALSE,all,All,182,0.7244897959183674,0.7074829931972789,0.7414965986394557,0,0,1
clinical_priority,TRUE,all,All,7,0.03500000000000003,0.025000000000000022,0.040000000000000036,0,0,0
clinical_priority,TRUE,all,All,14,0.05999999999999994,0.04999999999999993,0.06999999999999995,0,0,0
clinical_priority,TRUE,all,All,21,0.08999999999999997,0.07499999999999996,0.09999999999999998,0,0,0
clinical_priority,TRUE,all,All,28,0.11499999999999999,0.10499999999999998,0.13,0,0,0
clinical_priority,TRUE,all,All,35,0.14500000000000002,0.13,0.16000000000000003,0,0,0
clinical_priority,TRUE,all,All,42,0.16999999999999993,0.15500000000000003,0.18499999999999994,0,0,0
clinical_priority,TRUE,all,All,49,0.19499999999999995,0.17999999999999994,0.21499999999999997,0,0,0
clinical_priority,TRUE,all,All,56,0.235,0.21499999999999997,0.25,1,0,0
clinical_priority,TRUE,all,All,63,0.26,0.24,0.28,0,0,0
clinical_priority,TRUE,all,All,70,0.28500000000000003,0.265,0.30499999999999994,0,0,0
clinical_priority,TRUE,all,All,77,0.30499999999999994,0.28500000000000003,0.32499999999999996,0,0,0
clinical_priority,TRUE,all,All,84,0.33499999999999996,0.31499999999999995,0.355,0,0,0
clinical_priority,TRUE,all,All,91,0.37,0.35,0.39,0,0,0
clinical_priority,TRUE,all,All,98,0.395,0.375,0.42000000000000004,0,0,0
clinical_priority,TRUE,all,All,105,0.42999999999999994,0.405,0.44999999999999996,0,0,0
clinical_priority,TRUE,all,All,112,0.45999999999999996,0.43999999999999995,0.485,0,0,0
clinical_priority,TRUE,all,All,119,0.485,0.46499999999999997,0.51,0,0,0
clinical_priority,TRUE,all,All,126,0.51,0.49,0.5349999999999999,0,0,0
clinical_priority,TRUE,all,All,133,0.5449999999999999,0.52,0.565,0,0,0
clinical_priority,TRUE,all,All,140,0.575,0.55,0.595,0,0,0
